date,co2,residual_anomaly,isolation_forest_anomaly,is_anomaly,methods
1959-03-31,316.7333333333333,False,True,True,Isolation Forest
1959-10-31,313.4,False,True,True,Isolation Forest
1959-11-30,314.875,False,True,True,Isolation Forest
1959-12-31,315.525,False,True,True,Isolation Forest
1960-01-31,316.38,False,True,True,Isolation Forest
1998-07-31,367.6,False,True,True,Isolation Forest
1999-10-31,365.14,False,True,True,Isolation Forest
2000-07-31,369.94,False,True,True,Isolation Forest
2000-12-31,369.44,False,True,True,Isolation Forest
2001-01-31,370.175,False,True,True,Isolation Forest
2001-07-31,371.3,False,True,True,Isolation Forest
2001-08-31,369.425,False,True,True,Isolation Forest
2001-09-30,367.88,False,True,True,Isolation Forest
2001-10-31,368.05,False,True,True,Isolation Forest
2001-11-30,369.375,False,True,True,Isolation Forest
2001-12-31,371.02,False,True,True,Isolation Forest
